,altitude,azimuth,datetime
summer_morning,36.90209009242766,88.8470619145794,2024-06-21 09:00:00
summer_midday,68.85703134943897,136.6688986690241,2024-06-21 12:00:00
summer_evening,26.47604762073001,279.3683707311745,2024-06-21 18:00:00
winter_morning,14.189948871544969,138.23690553000438,2024-12-21 09:00:00
winter_midday,26.640142758150997,180.24232724066746,2024-12-21 12:00:00
winter_evening,-14.94962832994464,251.73604751302094,2024-12-21 18:00:00
spring_midday,47.763256684237554,154.37617282984013,2024-03-21 12:00:00
fall_midday,48.5648669563235,159.55351621081365,2024-09-21 12:00:00
