summer_morning,summer_midday,summer_evening,winter_morning,winter_midday,winter_evening,spring_midday,fall_midday
0.06608396803707384,6.775590241655427e-05,0.19342288843729435,0.23017145704875672,0.3453088659702973,0.0,0.05527112456831723,0.07479427394735869
0.0,0.0,0.10964983885007036,0.30561104465891503,0.3122893517949375,0.0,0.011139829959066944,0.01753806977133507
0.47859647218009504,0.3467078759814897,0.5370334510656041,0.27123427696941876,0.2950176127982219,0.0,0.4288981508586654,0.37508510704338277
0.0,0.09511138085163594,0.0,0.3741170906679655,0.23000162284242698,0.0,0.27463789684626433,0.19257815768906547
0.002573405913731508,0.15611847448433128,0.014133610055039606,0.08252938713953335,0.0035556832162451013,0.0,0.4669466002078319,0.46456352307163074
0.48387951685083946,0.28542508255484833,0.6621523903497772,0.5266659751689167,0.4226154110451322,0.0,0.3178576627969669,0.307676777028504
0.009865170545276556,0.07533393809559573,0.008882562540227654,0.606931274352885,0.2968497073467174,0.0,0.1703996185022334,0.16388643138496145
0.0,0.09511138085163594,0.0,0.37411709066796556,0.23000162284242698,0.0,0.27463789684626433,0.19257815768906547
0.19172753185300773,0.0,0.0,0.2313326459351382,0.9053915329132892,0.0,0.010012849720292281,0.006418995415572744
0.13732813697544224,0.0,0.0,0.5475808687022359,0.6373249201172657,0.0,0.03358735858614304,0.019714465548790683
0.09795007441130262,0.0,0.0,0.462455431391363,0.550113485312319,0.0,0.008350742743020851,0.0053538161929494645
0.37811370023805724,0.00133873802883364,0.0,0.37107038393043046,0.8755264131535848,0.0,0.12559173471141338,0.1273910078780468
0.7111032089427874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2942893658871529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16110352473889775,0.038085439478444116,0.04258348895331161,0.4132780952999103,0.3198865634564828,0.0,0.18437246896091905,0.17320649566458932
0.24868590760542,0.10948960180656174,0.2477318531139497,0.4207462015004228,0.31614685525442904,0.0,0.24856120946023594,0.23208117637242492
0.24904099085173348,0.1473596875768268,0.0793142871361218,0.35517867964962513,0.45262012600290963,0.0,0.23361744899912848,0.22276682595469544
0.32909578262774997,0.15825990806483717,0.1344538364057583,0.348521228845409,0.5108842911029712,0.0,0.3500894460262199,0.3536765089800659
0.0,0.11324156247883013,0.6581718735090929,0.0,0.23080261316890485,0.0,0.5713221040577319,0.46269212561213335
0.6296384816920574,0.25842780673068705,0.42850311875405983,0.33143397476802594,0.2705224563904555,0.0,0.425755722035915,0.3433271676068093
0.02183180845553504,0.26920695075539475,0.854930468789903,0.02183180845553504,0.47338853798380376,0.0,0.7484777539165415,0.6574776121738695
0.16217994425004623,0.18226807025732786,0.5973526231234932,0.3465796999297905,0.17971442110223051,0.0,0.21474737658444024,0.19370830438969777
0.0,0.04028123128680998,0.06340607905250945,0.0,0.0,0.0,0.10326754309627141,0.061937650454004914
0.0,0.04227057906860979,0.19453330988165557,0.0,0.0,0.0,0.18581086302607291,0.1391593220705891
0.14840938308789722,0.1543034347521273,0.10687284450382545,0.6868894994227568,0.5140805260088809,0.0,0.43819034270109225,0.4393281156227487
0.3281481838907042,0.1840179082493063,0.14889324716777935,0.23387471706532004,0.5828550276867334,0.0,0.4735184441541325,0.4715170708579673
0.41439759334284143,0.21595208896390103,0.19226757246481613,0.6956373307621818,0.34034294288518613,0.0,0.3356499711683892,0.31307713582858526
0.1560957584777312,0.06980231466337922,0.046541695614554755,0.5778260834920742,0.5505854055096681,0.0,0.21704250404580105,0.21809875646051197
0.12817030845288066,0.01047955067846201,0.0,0.6543096406810717,0.3430432400319646,0.0,0.10445170321815674,0.09361297107036991
0.6306340760887975,0.33624388804953653,0.705084263723571,0.5271916278065931,0.3402019803985529,0.0,0.39664769301556924,0.3725800903999575
0.12817030845288066,0.01047955067846201,0.0,0.6543096406810717,0.3430432400319646,0.0,0.10445170321815674,0.09361297107036991
0.7793260170836805,0.3690895400867716,0.7043468825310655,0.6145596778011123,0.3729524570787396,0.0,0.4492315543190181,0.41685127882380957
0.14867654518559872,0.04074498146297127,0.0329361431430244,0.5536977247098664,0.4129344745880656,0.0,0.13270130349767478,0.13376768150998633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0014067534312970737,0.0,0.025082653389544036,0.029379050419631864,0.0,0.012505917399423095,0.012292802483117987
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.03666039938186591,0.41034551841050726,0.0,0.08727052571007275,0.0851049877336898
1.604214257971322e-05,0.0,0.0,0.09963561781058512,0.11163604024913043,0.0,0.0015944086005474074,0.0034013775764890467
0.4226268077392004,0.23378876442744578,0.30482691584948945,0.5489696788269263,0.7562620269022138,0.0,0.4387661264626777,0.4400640620661071
0.3833116569963126,0.03197461120921056,0.35768054904288105,0.13634684289195964,0.06494424300662031,0.0,0.0868357660947909,0.05665591596735537
0.4982287078663365,0.045447692560727976,0.29790426903397466,0.4428222961141386,0.02328850107782245,0.0,0.15515027830070022,0.1022762856586759
0.20481594660718452,0.0017226928339572703,0.3452278015131779,0.0031526252024292396,0.42193494910190443,0.0,0.23628414723561292,0.22256215662751966
0.35731686641000615,0.09827576526251702,0.4369247376430886,0.49585834936301576,0.046896370913165134,0.0,0.21321864859844997,0.16777452715939042
0.3833116569963126,0.03197461120921056,0.35768054904288105,0.13634684289195964,0.0649442430066203,0.0,0.0868357660947909,0.05665591596735537
0.307953200574747,0.09141298842150179,0.4333243128330666,0.4297504788574028,0.07271388172608154,0.0,0.18472371810860894,0.14736817497033494
